Chainage, Elevation
0.0,-14.02999973
1.250836073,-14.03999996
2.501672147,-14.02999973
3.75250822,-14.02000046
5.003344294,-14.02000046
6.254180367,-14.01000023
7.505016441,-13.98999977
8.755852514,-13.97000027
10.00668859,-13.96000004
11.25752466,-13.93999958
12.50836073,-13.93000031
13.75919681,-13.89999962
15.01003288,-13.89000034
16.26086896,-13.88000011
17.51170503,-13.85999966
18.7625411,-13.84000015
20.01337718,-13.84000015
21.26421325,-13.81999969
22.51504932,-13.81999969
23.7658854,-13.78999996
25.01672147,-13.80000019
26.26755754,-13.78999996
27.51839362,-13.77999973
28.76922969,-13.77999973
30.02006576,-13.77999973
31.27090184,-13.76000023
32.52173791,-13.73999977
33.77257398,-13.72999954
35.02341006,-13.72999954
36.27424613,-13.71000004
37.5250822,-13.68000031
38.77591828,-13.64999962
40.02675435,-13.64000034
41.27759043,-13.63000011
42.5284265,-13.61999989
43.77926257,-13.60000038
45.03009865,-13.59000015
46.28093472,-13.56999969
47.53177079,-13.55000019
48.78260687,-13.53999996
50.03344294,-13.53999996
51.28427901,-13.52999973
52.53511509,-13.51000023
53.78595116,-13.47999954
55.03678723,-13.48999977
56.28762331,-13.46000004
57.53845938,-13.44999981
58.78929545,-13.43000031
60.04013153,-13.42000008
61.2909676,-13.39999962
62.54180367,-13.38000011
63.79263975,-13.36999989
65.04347582,-13.35999966
66.2943119,-13.35000038
67.54514797,-13.34000015
68.79598404,-13.31999969
70.04682012,-13.31999969
71.29765619,-13.30000019
72.54849226,-13.27999973
73.79932834,-13.27000046
75.05016441,-13.26000023
76.30100048,-13.25
77.55183656,-13.23999977
78.80267263,-13.22000027
80.0535087,-13.21000004
81.30434478,-13.18999958
82.55518085,-13.18000031
83.80601692,-13.15999985
85.056853,-13.15999985
86.30768907,-13.14000034
87.55852514,-13.13000011
88.80936122,-13.07999992
90.06019729,-13.06000042
91.31103337,-13.06000042
92.56186944,-13.06000042
93.81270551,-13.07999992
95.06354159,-13.06999969
96.31437766,-13.05000019
97.56521373,-13.02000046
98.81604981,-13
100.0668859,-12.97000027
101.317722,-12.97999954
102.568558,-12.97000027
103.8193941,-12.98999977
105.0702302,-13.01000023
106.3210662,-13.01000023
107.5719023,-13
108.8227384,-12.98999977
110.0735745,-12.96000004
111.3244105,-12.94999981
112.5752466,-12.92000008
113.8260827,-12.89999962
115.0769188,-12.89999962
116.3277548,-12.88000011
117.5785909,-12.78999996
118.829427,-12.77000046
120.0802631,-12.75
121.3310991,-12.73999977
122.5819352,-12.73999977
123.8327713,-12.72000027
125.0836073,-12.72000027
126.3344434,-12.71000004
127.5852795,-12.69999981
128.8361156,-12.68999958
130.0869516,-12.67000008
131.3377877,-12.67000008
132.5886238,-12.64000034
133.8394599,-12.63000011
135.0902959,-12.63000011
136.341132,-12.67000008
137.5919681,-12.68999958
138.8428042,-12.71000004
140.0936402,-12.68999958
141.3444763,-12.68000031
142.5953124,-12.65999985
143.8461485,-12.64000034
145.0969845,-12.61999989
146.3478206,-12.60000038
147.5986567,-12.57999992
148.8494927,-12.56999969
150.1003288,-12.55000019
151.3511649,-12.53999996
152.602001,-12.52000046
153.852837,-12.5
155.1036731,-12.47999954
156.3545092,-12.46000004
157.6053453,-12.43999958
158.8561813,-12.43000031
160.1070174,-12.42000008
161.3578535,-12.39999962
162.6086896,-12.39000034
163.8595256,-12.38000011
165.1103617,-12.35999966
166.3611978,-12.35000038
167.6120338,-12.32999992
168.8628699,-12.31000042
170.113706,-12.28999996
171.3645421,-12.27000046
172.6153781,-12.23999977
173.8662142,-12.25
175.1170503,-12.22999954
176.3678864,-12.21000004
177.6187224,-12.14000034
178.8695585,-12.13000011
180.1203946,-12.13000011
181.3712307,-12.15999985
182.6220667,-12.14999962
183.8729028,-12.10999966
185.1237389,-12.10000038
186.374575,-12.07999992
187.625411,-12.06000042
188.8762471,-12.03999996
190.1270832,-12.02999973
191.3779192,-12
192.6287553,-11.97000027
193.8795914,-11.96000004
195.1304275,-11.93000031
196.3812635,-11.89999962
197.6320996,-11.93999958
198.8829357,-11.97000027
200.1337718,-11.93000031
201.3846078,-11.92000008
202.6354439,-11.89000034
203.88628,-11.88000011
205.1371161,-11.86999989
206.3879521,-11.88000011
207.6387882,-11.89999962
208.8896243,-11.85000038
210.1404603,-11.92000008
211.3912964,-12.11999989
212.6421325,-12.17000008
213.8929686,-12.14000034
215.1438046,-12.03999996
216.3946407,-11.97999954
217.6454768,-11.93999958
218.8963129,-11.90999985
220.1471489,-11.88000011
221.397985,-11.85000038
222.6488211,-11.81999969
223.8996572,-11.81000042
225.1504932,-11.80000019
226.4013293,-11.78999996
227.6521654,-11.78999996
228.9030014,-11.77000046
230.1538375,-11.75
231.4046736,-11.72999954
232.6555097,-11.72000027
233.9063457,-11.69999981
235.1571818,-11.68000031
236.4080179,-11.67000008
237.658854,-11.64999962
238.90969,-11.63000011
240.1605261,-11.61999989
241.4113622,-11.60000038
242.6621983,-11.59000015
243.9130343,-11.56000042
245.1638704,-11.55000019
246.4147065,-11.53999996
247.6655426,-11.51000023
248.9163786,-11.51000023
250.1672147,-11.48999977
251.4180508,-11.47000027
252.6688868,-11.46000004
253.9197229,-11.43999958
255.170559,-11.44999981
256.4213951,-11.43000031
257.6722311,-11.39999962
258.9230672,-11.39000034
260.1739033,-11.40999985
261.4247394,-11.39000034
262.6755754,-11.36999989
263.9264115,-11.35999966
265.1772476,-11.34000015
266.4280837,-11.31999969
267.6789197,-11.30000019
268.9297558,-11.28999996
270.1805919,-11.27000046
271.4314279,-11.25
272.682264,-11.22000027
273.9331001,-11.19999981
275.1839362,-11.18999958
276.4347722,-11.17000008
277.6856083,-11.14000034
278.9364444,-11.11999989
280.1872805,-11.10999966
281.4381165,-11.07999992
282.6889526,-11.05000019
283.9397887,-11.01000023
285.1906248,-10.98999977
286.4414608,-10.97999954
287.6922969,-10.97999954
288.943133,-10.97999954
290.1939691,-10.97000027
291.4448051,-10.96000004
292.6956412,-10.96000004
293.9464773,-10.94999981
295.1973133,-10.93999958
296.4481494,-10.93999958
297.6989855,-10.93000031
298.9498216,-10.92000008
300.2006576,-10.90999985
301.4514937,-10.89999962
302.7023298,-10.89999962
303.9531659,-10.88000011
305.2040019,-10.88000011
306.454838,-10.88000011
307.7056741,-10.88000011
308.9565102,-10.88000011
310.2073462,-10.86999989
311.4581823,-10.86999989
312.7090184,-10.85000038
313.9598544,-10.84000015
315.2106905,-10.84000015
316.4615266,-10.82999992
317.7123627,-10.84000015
318.9631987,-10.82999992
320.2140348,-10.84000015
321.4648709,-10.88000011
322.715707,-10.88000011
323.966543,-10.81999969
325.2173791,-10.81000042
326.4682152,-10.77999973
327.7190513,-10.77999973
328.9698873,-10.77000046
